filename,start_beat,bpm,type
stockhiphopsong,0.046439909297052155,93.96306818181819,audio
colddance,0.034829931972789115,117.45383522727273,video
debbieallenchallenge,0.023219954648526078,123.046875,video
getup,0.33668934240362813,129.19921875,video
itsafit,0.058049886621315196,99.38401442307692,video
raysteps-watchmyshoes,0.06965986394557823,166.70866935483872,video
renegade,0.08126984126984127,99.38401442307692,video
sayso,0.12770975056689343,109.95678191489361,video
unhhunh,0.19736961451247165,154.267723880597,video
welcome-to-my-world,0.06965986394557823,129.19921875,video
bartender,0.08126984126984127,105.46875,video
last-christmas-tutorial,0.034829931972789115,109.95678191489361,video
mad-at-disney-tutorial,0.33668934240362813,117.45383522727273,video
pajamaparty-tutorial,0.046439909297052155,178.20581896551724,video
test-still,0.034829931972789115,93.96306818181819,video
test-twostep_active,0.034829931972789115,93.96306818181819,video
test-twostep_baseline,1.1029478458049886,93.96306818181819,video
test-twostep_feetcropped,0.034829931972789115,93.96306818181819,video
test-twostep_halfspeed,0.3831292517006803,93.96306818181819,video
test-twostep_onehand,0.25541950113378686,93.96306818181819,video
test-twostep_reduced,0.034829931972789115,93.96306818181819,video
